fid,feature_id,rdf_seeals,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,solar_Ener,pand_id_16,identificatie,EnergyEst
458,1192601,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000213063,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,120.209,1.53E+14,NL.IMBAG.Pand.0153100000213063,120.209
459,1215302,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000247087,1.53E+14,2007,Pand in gebruik,,,,0,55.507,1.53E+14,NL.IMBAG.Pand.0153100000247087,55.507
460,1220589,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000244947,1.53E+14,1954,Pand in gebruik,woonfunctie,58,60,2,199.295,1.53E+14,NL.IMBAG.Pand.0153100000244947,199.295
461,1232220,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266106,1.53E+14,1956,Pand in gebruik,woonfunctie,81,81,1,123.016,1.53E+14,NL.IMBAG.Pand.0153100000266106,123.016
462,1238064,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271134,1.53E+14,1960,Pand in gebruik,,,,0,64.718,1.53E+14,NL.IMBAG.Pand.0153100000271134,64.718
463,1221737,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000249313,1.53E+14,1953,Pand in gebruik,,,,0,16.483,1.53E+14,NL.IMBAG.Pand.0153100000249313,16.483
464,1239445,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000274084,1.53E+14,1954,Pand in gebruik,woonfunctie,58,60,2,222.045,1.53E+14,NL.IMBAG.Pand.0153100000274084,222.045
465,1243824,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272518,1.53E+14,1975,Pand in gebruik,bijeenkomstfunctie,84,84,1,299.116,1.53E+14,NL.IMBAG.Pand.0153100000272518,299.116
466,1244965,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000278207,1.53E+14,1953,Pand in gebruik,,,,0,25.617,1.53E+14,NL.IMBAG.Pand.0153100000278207,25.617
467,1246530,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000275541,1.53E+14,1954,Pand in gebruik,,,,0,32.624,1.53E+14,NL.IMBAG.Pand.0153100000275541,32.624
468,1248301,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000284101,1.53E+14,1954,Pand in gebruik,,,,0,33.275,1.53E+14,NL.IMBAG.Pand.0153100000284101,33.275
469,1251304,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000285692,1.53E+14,1954,Pand in gebruik,woonfunctie,98,98,1,111.575,1.53E+14,NL.IMBAG.Pand.0153100000285692,111.575
470,1258930,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293202,1.53E+14,1997,Pand in gebruik,,,,0,37.373,1.53E+14,NL.IMBAG.Pand.0153100000293202,37.373
471,1261642,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000475002,1.53E+14,2014,Pand in gebruik,,,,0,41.618,1.53E+14,NL.IMBAG.Pand.0153100000475002,41.618
472,1261643,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000475003,1.53E+14,1953,Pand in gebruik,overige gebruiksfunctie,18,18,1,69.602,1.53E+14,NL.IMBAG.Pand.0153100000475003,69.602
473,1206588,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000232790,1.53E+14,1957,Pand in gebruik,woonfunctie,111,111,1,245.137,1.53E+14,NL.IMBAG.Pand.0153100000232790,245.137
474,1196589,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000222224,1.53E+14,1956,Pand in gebruik,woonfunctie,98,98,1,120.371,1.53E+14,NL.IMBAG.Pand.0153100000222224,120.371
475,1176855,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000201860,1.53E+14,1958,Pand in gebruik,woonfunctie,175,175,1,383.964,1.53E+14,NL.IMBAG.Pand.0153100000201860,383.964
476,1245928,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000276873,1.53E+14,1927,Pand in gebruik,woonfunctie,76,76,1,355.402,1.53E+14,NL.IMBAG.Pand.0153100000276873,355.402
477,1257454,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000291230,1.53E+14,1956,Pand in gebruik,woonfunctie,98,98,1,128.135,1.53E+14,NL.IMBAG.Pand.0153100000291230,128.135
478,1270207,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506951,1.53E+14,1956,Pand in gebruik,,,,0,37.323,1.53E+14,NL.IMBAG.Pand.0153100000506951,37.323
479,1177315,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000203847,1.53E+14,1956,Pand in gebruik,woonfunctie,98,98,1,110.27,1.53E+14,NL.IMBAG.Pand.0153100000203847,110.27
480,1191904,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000218668,1.53E+14,1957,Pand in gebruik,,,,0,105.171,1.53E+14,NL.IMBAG.Pand.0153100000218668,105.171
481,1201149,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229636,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,233.664,1.53E+14,NL.IMBAG.Pand.0153100000229636,233.664
482,1189295,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000215737,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,192.273,1.53E+14,NL.IMBAG.Pand.0153100000215737,192.273
483,1258297,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000290382,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,203.549,1.53E+14,NL.IMBAG.Pand.0153100000290382,203.549
484,1268804,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503162,1.53E+14,2018,Pand in gebruik,,,,0,33.774,1.53E+14,NL.IMBAG.Pand.0153100000503162,33.774
485,1234266,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000259993,1.53E+14,1982,Pand in gebruik,woonfunctie,93,93,1,223.104,1.53E+14,NL.IMBAG.Pand.0153100000259993,223.104
486,1202980,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000232222,1.53E+14,1982,Pand in gebruik,woonfunctie,93,93,1,179.856,1.53E+14,NL.IMBAG.Pand.0153100000232222,179.856
487,1212272,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000237040,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,202.445,1.53E+14,NL.IMBAG.Pand.0153100000237040,202.445
488,1260753,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293859,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,193.885,1.53E+14,NL.IMBAG.Pand.0153100000293859,193.885
489,1194157,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000218874,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,197.984,1.53E+14,NL.IMBAG.Pand.0153100000218874,197.984
490,1260819,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000289920,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,171.992,1.53E+14,NL.IMBAG.Pand.0153100000289920,171.992
491,1204922,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000230980,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,174.669,1.53E+14,NL.IMBAG.Pand.0153100000230980,174.669
492,1200904,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000227399,1.53E+14,1982,Pand in gebruik,woonfunctie,93,93,1,183.583,1.53E+14,NL.IMBAG.Pand.0153100000227399,183.583
493,1221896,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251365,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,165.878,1.53E+14,NL.IMBAG.Pand.0153100000251365,165.878
494,1214537,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000238925,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,175.752,1.53E+14,NL.IMBAG.Pand.0153100000238925,175.752
495,1205815,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000228988,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,187.923,1.53E+14,NL.IMBAG.Pand.0153100000228988,187.923
496,1240643,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271271,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,207.264,1.53E+14,NL.IMBAG.Pand.0153100000271271,207.264
497,1181227,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000204279,1.53E+14,1982,Pand in gebruik,woonfunctie,92,92,1,171.848,1.53E+14,NL.IMBAG.Pand.0153100000204279,171.848
498,1234982,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266348,1.53E+14,1982,Pand in gebruik,woonfunctie,92,92,1,164.564,1.53E+14,NL.IMBAG.Pand.0153100000266348,164.564
499,1268803,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503161,1.53E+14,2018,Pand in gebruik,,,,0,61.219,1.53E+14,NL.IMBAG.Pand.0153100000503161,61.219
500,1217724,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241534,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,190.936,1.53E+14,NL.IMBAG.Pand.0153100000241534,190.936
501,1192879,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000210575,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,178.138,1.53E+14,NL.IMBAG.Pand.0153100000210575,178.138
502,1250074,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000286086,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,172.596,1.53E+14,NL.IMBAG.Pand.0153100000286086,172.596
503,1195730,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000217839,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,175.824,1.53E+14,NL.IMBAG.Pand.0153100000217839,175.824
504,1248886,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000279956,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,220.685,1.53E+14,NL.IMBAG.Pand.0153100000279956,220.685
505,1216734,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000247625,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,204.986,1.53E+14,NL.IMBAG.Pand.0153100000247625,204.986
506,1250159,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000280462,1.53E+14,1982,Pand in gebruik,woonfunctie,92,92,1,206.074,1.53E+14,NL.IMBAG.Pand.0153100000280462,206.074
507,1207542,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000235632,1.53E+14,1982,Pand in gebruik,woonfunctie,88,88,1,185.927,1.53E+14,NL.IMBAG.Pand.0153100000235632,185.927
508,1270208,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506952,1.53E+14,2009,Pand in gebruik,,,,0,34.613,1.53E+14,NL.IMBAG.Pand.0153100000506952,34.613
509,1270209,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506953,1.53E+14,2009,Pand in gebruik,,,,0,24.02,1.53E+14,NL.IMBAG.Pand.0153100000506953,24.02
510,1270210,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506954,1.53E+14,2009,Pand in gebruik,,,,0,43.111,1.53E+14,NL.IMBAG.Pand.0153100000506954,43.111
511,1270211,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506955,1.53E+14,2009,Pand in gebruik,,,,0,19.958,1.53E+14,NL.IMBAG.Pand.0153100000506955,19.958
512,1270213,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506956,1.53E+14,2009,Pand in gebruik,,,,0,21.389,1.53E+14,NL.IMBAG.Pand.0153100000506956,21.389
513,1270262,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506957,1.53E+14,2009,Pand in gebruik,,,,0,20.985,1.53E+14,NL.IMBAG.Pand.0153100000506957,20.985
514,1219052,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000249741,1.53E+14,1930,Pand in gebruik,,,,0,492.191,1.53E+14,NL.IMBAG.Pand.0153100000249741,492.191
515,1210049,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000236845,1.53E+14,1911,Pand in gebruik,woonfunctie,305,305,1,612.4,1.53E+14,NL.IMBAG.Pand.0153100000236845,612.4
516,1194681,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000216327,1.53E+14,1954,Pand in gebruik,woonfunctie,170,170,1,390.623,1.53E+14,NL.IMBAG.Pand.0153100000216327,390.623
517,1256003,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000289180,1.53E+14,1956,Pand in gebruik,woonfunctie,90,90,1,193.767,1.53E+14,NL.IMBAG.Pand.0153100000289180,193.767
518,1219178,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241940,1.53E+14,1922,Pand in gebruik,woonfunctie,177,177,1,244.151,1.53E+14,NL.IMBAG.Pand.0153100000241940,244.151
519,1248253,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277802,1.53E+14,1954,Pand in gebruik,woonfunctie,58,70,2,214.195,1.53E+14,NL.IMBAG.Pand.0153100000277802,214.195
520,1225098,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000254418,1.53E+14,1992,Pand in gebruik,,,,0,142.769,1.53E+14,NL.IMBAG.Pand.0153100000254418,142.769
521,1254580,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000283574,1.53E+14,1956,Pand in gebruik,woonfunctie,98,98,1,117.683,1.53E+14,NL.IMBAG.Pand.0153100000283574,117.683
522,1227250,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000260608,1.53E+14,1956,Pand in gebruik,woonfunctie,98,98,1,101.716,1.53E+14,NL.IMBAG.Pand.0153100000260608,101.716
523,1234235,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000268158,1.53E+14,1956,Pand in gebruik,woonfunctie,98,98,1,103.896,1.53E+14,NL.IMBAG.Pand.0153100000268158,103.896
524,1272485,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506624,1.53E+14,2020,Pand in gebruik,,,,0,103.183,1.53E+14,NL.IMBAG.Pand.0153100000506624,103.183
525,1271225,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509499,1.53E+14,2023,Pand in gebruik,woonfunctie,121,121,1,716.844,1.53E+14,NL.IMBAG.Pand.0153100000509499,716.844
526,1271009,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509486,1.53E+14,2023,Pand in gebruik,,,,0,111.121,1.53E+14,NL.IMBAG.Pand.0153100000509486,111.121
527,1271008,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509483,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,717.261,1.53E+14,NL.IMBAG.Pand.0153100000509483,717.261
528,1270925,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509482,1.53E+14,2023,Pand in gebruik,,,,0,106.255,1.53E+14,NL.IMBAG.Pand.0153100000509482,106.255
529,1270924,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509479,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,698.549,1.53E+14,NL.IMBAG.Pand.0153100000509479,698.549
530,1270801,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509478,1.53E+14,2023,Pand in gebruik,,,,0,114.109,1.53E+14,NL.IMBAG.Pand.0153100000509478,114.109
531,1270790,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509475,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,699.411,1.53E+14,NL.IMBAG.Pand.0153100000509475,699.411
532,1270755,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509474,1.53E+14,2023,Pand in gebruik,,,,0,110.483,1.53E+14,NL.IMBAG.Pand.0153100000509474,110.483
533,1270744,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509471,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,702.227,1.53E+14,NL.IMBAG.Pand.0153100000509471,702.227
534,1270737,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509470,1.53E+14,2023,Pand in gebruik,,,,0,117.263,1.53E+14,NL.IMBAG.Pand.0153100000509470,117.263
535,1270731,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509467,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,689.145,1.53E+14,NL.IMBAG.Pand.0153100000509467,689.145
536,1270503,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509466,1.53E+14,2023,Pand in gebruik,,,,0,108.867,1.53E+14,NL.IMBAG.Pand.0153100000509466,108.867
537,1270698,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509463,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,694.164,1.53E+14,NL.IMBAG.Pand.0153100000509463,694.164
538,1270697,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509462,1.53E+14,2023,Pand in gebruik,,,,0,112.632,1.53E+14,NL.IMBAG.Pand.0153100000509462,112.632
539,1270675,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509459,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,691.804,1.53E+14,NL.IMBAG.Pand.0153100000509459,691.804
540,1270674,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509458,1.53E+14,2023,Pand in gebruik,,,,0,121.178,1.53E+14,NL.IMBAG.Pand.0153100000509458,121.178
541,1270480,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509442,1.53E+14,2023,Pand in gebruik,,,,0,106.623,1.53E+14,NL.IMBAG.Pand.0153100000509442,106.623
542,1270635,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509455,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,717.929,1.53E+14,NL.IMBAG.Pand.0153100000509455,717.929
543,1270525,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509446,1.53E+14,2023,Pand in gebruik,,,,0,122.141,1.53E+14,NL.IMBAG.Pand.0153100000509446,122.141
544,1174731,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000202602,1.53E+14,1956,Pand in gebruik,woonfunctie,70,70,2,228.071,1.53E+14,NL.IMBAG.Pand.0153100000202602,228.071
545,1270567,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509450,1.53E+14,2023,Pand in gebruik,,,,0,116.864,1.53E+14,NL.IMBAG.Pand.0153100000509450,116.864
546,1270634,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509454,1.53E+14,2023,Pand in gebruik,,,,0,111.492,1.53E+14,NL.IMBAG.Pand.0153100000509454,111.492
547,1270524,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509443,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,663.193,1.53E+14,NL.IMBAG.Pand.0153100000509443,663.193
548,1230667,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000263091,1.53E+14,1954,Pand in gebruik,woonfunctie,61,70,2,197.453,1.53E+14,NL.IMBAG.Pand.0153100000263091,197.453
549,1270566,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509447,1.53E+14,2023,Pand in gebruik,woonfunctie,104,104,1,695.132,1.53E+14,NL.IMBAG.Pand.0153100000509447,695.132
550,1270611,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509451,1.53E+14,2023,Pand in gebruik,woonfunctie,121,121,1,717.33,1.53E+14,NL.IMBAG.Pand.0153100000509451,717.33
551,1241892,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277099,1.53E+14,1956,Pand in gebruik,woonfunctie,70,70,2,231.951,1.53E+14,NL.IMBAG.Pand.0153100000277099,231.951
552,1182174,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000204920,1.53E+14,1954,Pand in gebruik,woonfunctie,61,70,2,218.558,1.53E+14,NL.IMBAG.Pand.0153100000204920,218.558
553,1210976,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229979,1.53E+14,1956,Pand in gebruik,,,,0,66.977,1.53E+14,NL.IMBAG.Pand.0153100000229979,66.977
554,1269290,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509293,1.53E+14,2023,Pand in gebruik,woonfunctie,97,97,1,673.671,1.53E+14,NL.IMBAG.Pand.0153100000509293,673.671
555,1269291,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509296,1.53E+14,2023,Pand in gebruik,,,,0,90.725,1.53E+14,NL.IMBAG.Pand.0153100000509296,90.725
556,1269242,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509285,1.53E+14,2023,Pand in gebruik,woonfunctie,97,97,1,645.911,1.53E+14,NL.IMBAG.Pand.0153100000509285,645.911
557,1269289,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509292,1.53E+14,2023,Pand in gebruik,,,,0,81.138,1.53E+14,NL.IMBAG.Pand.0153100000509292,81.138
558,1269185,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509281,1.53E+14,2022,Pand in gebruik,woonfunctie,97,97,1,657.688,1.53E+14,NL.IMBAG.Pand.0153100000509281,657.688
559,1269285,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509288,1.53E+14,2023,Pand in gebruik,,,,0,72.65,1.53E+14,NL.IMBAG.Pand.0153100000509288,72.65
560,1269154,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509277,1.53E+14,2023,Pand in gebruik,woonfunctie,97,97,1,649.277,1.53E+14,NL.IMBAG.Pand.0153100000509277,649.277
561,1269241,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509284,1.53E+14,2023,Pand in gebruik,,,,0,77.795,1.53E+14,NL.IMBAG.Pand.0153100000509284,77.795
562,1269123,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509273,1.53E+14,2023,Pand in gebruik,woonfunctie,97,97,1,648.964,1.53E+14,NL.IMBAG.Pand.0153100000509273,648.964
563,1269184,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509280,1.53E+14,2023,Pand in gebruik,,,,0,80.175,1.53E+14,NL.IMBAG.Pand.0153100000509280,80.175
564,1269335,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509300,1.53E+14,2023,Pand in gebruik,,,,0,111.425,1.53E+14,NL.IMBAG.Pand.0153100000509300,111.425
565,1269100,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509269,1.53E+14,2023,Pand in gebruik,woonfunctie,97,97,1,635.969,1.53E+14,NL.IMBAG.Pand.0153100000509269,635.969
566,1269405,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509304,1.53E+14,2023,Pand in gebruik,,,,0,125.057,1.53E+14,NL.IMBAG.Pand.0153100000509304,125.057
567,1269152,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509276,1.53E+14,2023,Pand in gebruik,,,,0,91.803,1.53E+14,NL.IMBAG.Pand.0153100000509276,91.803
568,1269407,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509308,1.53E+14,2023,Pand in gebruik,,,,0,110.857,1.53E+14,NL.IMBAG.Pand.0153100000509308,110.857
569,1271065,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509487,1.53E+14,2023,Pand in gebruik,woonfunctie,121,121,1,703.451,1.53E+14,NL.IMBAG.Pand.0153100000509487,703.451
570,1271066,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509490,1.53E+14,2023,Pand in gebruik,,,,0,118.274,1.53E+14,NL.IMBAG.Pand.0153100000509490,118.274
571,1271139,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509491,1.53E+14,2023,Pand in gebruik,woonfunctie,121,121,1,575.562,1.53E+14,NL.IMBAG.Pand.0153100000509491,575.562
572,1271140,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509494,1.53E+14,2023,Pand in gebruik,,,,0,102.927,1.53E+14,NL.IMBAG.Pand.0153100000509494,102.927
573,1271165,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509495,1.53E+14,2023,Pand in gebruik,woonfunctie,121,121,1,631.692,1.53E+14,NL.IMBAG.Pand.0153100000509495,631.692
574,1271166,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509498,1.53E+14,2023,Pand in gebruik,,,,0,109.434,1.53E+14,NL.IMBAG.Pand.0153100000509498,109.434
575,1271226,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509502,1.53E+14,2023,Pand in gebruik,,,,0,110.075,1.53E+14,NL.IMBAG.Pand.0153100000509502,110.075
576,10834153,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000509289,1.53E+14,2023,Pand in gebruik,woonfunctie,97,97,1,648.226,1.53E+14,NL.IMBAG.Pand.0153100000509289,648.226
577,1249681,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000282739,1.53E+14,1953,Pand in gebruik,woonfunctie,84,84,1,127.867,1.53E+14,NL.IMBAG.Pand.0153100000282739,127.867
578,1237211,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000267886,1.53E+14,1953,Pand in gebruik,,,,0,16.483,1.53E+14,NL.IMBAG.Pand.0153100000267886,16.483
579,1179331,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000202946,1.53E+14,1954,Pand in gebruik,woonfunctie,87,87,1,165.243,1.53E+14,NL.IMBAG.Pand.0153100000202946,165.243
580,1246341,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000278780,1.53E+14,1953,Pand in gebruik,woonfunctie,62,62,1,99.712,1.53E+14,NL.IMBAG.Pand.0153100000278780,99.712
581,1184074,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000208706,1.53E+14,1953,Pand in gebruik,woonfunctie,73,73,1,122.572,1.53E+14,NL.IMBAG.Pand.0153100000208706,122.572
582,1245292,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000275436,1.53E+14,1953,Pand in gebruik,woonfunctie,79,79,1,118.359,1.53E+14,NL.IMBAG.Pand.0153100000275436,118.359
583,1176338,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000202747,1.53E+14,1953,Pand in gebruik,woonfunctie,70,70,1,113.851,1.53E+14,NL.IMBAG.Pand.0153100000202747,113.851
584,1195771,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000220771,1.53E+14,1953,Pand in gebruik,woonfunctie,79,79,1,110.274,1.53E+14,NL.IMBAG.Pand.0153100000220771,110.274
585,1248122,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000281291,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,117.2,1.53E+14,NL.IMBAG.Pand.0153100000281291,117.2
586,1178936,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000203536,1.53E+14,1953,Pand in gebruik,woonfunctie,83,83,1,130.863,1.53E+14,NL.IMBAG.Pand.0153100000203536,130.863
587,1246967,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000278368,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,113.503,1.53E+14,NL.IMBAG.Pand.0153100000278368,113.503
588,1222836,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000253167,1.53E+14,1954,Pand in gebruik,,,,0,35.331,1.53E+14,NL.IMBAG.Pand.0153100000253167,35.331
589,1226612,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251004,1.53E+14,1953,Pand in gebruik,woonfunctie,76,76,1,130.733,1.53E+14,NL.IMBAG.Pand.0153100000251004,130.733
590,1242439,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000273875,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,118.493,1.53E+14,NL.IMBAG.Pand.0153100000273875,118.493
