fid,feature_id,rdf_seeals,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,solar_Ener,pand_id_16,identificatie,EnergyEst
96,1226404,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000254808,1.53E+14,1957,Pand in gebruik,woonfunctie,61,69,4,247.192,1.53E+14,NL.IMBAG.Pand.0153100000254808,247.192
97,1227498,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000255816,1.53E+14,1954,Pand in gebruik,woonfunctie,44,44,3,173.873,1.53E+14,NL.IMBAG.Pand.0153100000255816,173.873
98,1229261,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000248019,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,109.783,1.53E+14,NL.IMBAG.Pand.0153100000248019,109.783
99,1232296,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000259064,1.53E+14,1955,Pand in gebruik,,,,0,30.069,1.53E+14,NL.IMBAG.Pand.0153100000259064,30.069
100,1233718,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000262757,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,109.506,1.53E+14,NL.IMBAG.Pand.0153100000262757,109.506
101,1234594,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000269105,1.53E+14,1957,Pand in gebruik,woonfunctie,61,69,4,249.64,1.53E+14,NL.IMBAG.Pand.0153100000269105,249.64
102,1235850,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000264872,1.53E+14,1959,Pand in gebruik,overige gebruiksfunctie,9,9,1,53.694,1.53E+14,NL.IMBAG.Pand.0153100000264872,53.694
103,1238403,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000265853,1.53E+14,1957,Pand in gebruik,"bijeenkomstfunctie,gezondheidszorgfunctie,overige gebruiksfunctie,winkelfunctie,woonfunctie",9,1664,25,7226.163,1.53E+14,NL.IMBAG.Pand.0153100000265853,7226.163
104,1240184,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000273679,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,111.332,1.53E+14,NL.IMBAG.Pand.0153100000273679,111.332
105,1241133,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271312,1.53E+14,1955,Pand in gebruik,woonfunctie,89,89,1,127.823,1.53E+14,NL.IMBAG.Pand.0153100000271312,127.823
106,1245213,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000275748,1.53E+14,1955,Pand in gebruik,,,,0,35.572,1.53E+14,NL.IMBAG.Pand.0153100000275748,35.572
107,1246430,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277466,1.53E+14,1956,Pand in gebruik,woonfunctie,50,57,4,421.015,1.53E+14,NL.IMBAG.Pand.0153100000277466,421.015
108,1246873,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277745,1.53E+14,1957,Pand in gebruik,woonfunctie,61,69,4,249.761,1.53E+14,NL.IMBAG.Pand.0153100000277745,249.761
109,1248075,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000276386,1.53E+14,1954,Pand in gebruik,woonfunctie,55,64,6,417.227,1.53E+14,NL.IMBAG.Pand.0153100000276386,417.227
110,1248579,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000281772,1.53E+14,2008,Pand in gebruik,"winkelfunctie,woonfunctie",32,3156,70,11632.86,1.53E+14,NL.IMBAG.Pand.0153100000281772,11632.86
111,1249150,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000282686,1.53E+14,1955,Pand in gebruik,woonfunctie,89,89,1,138.592,1.53E+14,NL.IMBAG.Pand.0153100000282686,138.592
112,1250633,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000281415,1.53E+14,1955,Pand in gebruik,,,,0,37.86,1.53E+14,NL.IMBAG.Pand.0153100000281415,37.86
113,1251393,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000287126,1.53E+14,1956,Pand in gebruik,woonfunctie,50,55,4,442.743,1.53E+14,NL.IMBAG.Pand.0153100000287126,442.743
114,1253219,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000286715,1.53E+14,1966,Sloopvergunning verleend,bijeenkomstfunctie,702,702,1,2232,1.53E+14,NL.IMBAG.Pand.0153100000286715,2232
115,1254367,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000285321,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,106.091,1.53E+14,NL.IMBAG.Pand.0153100000285321,106.091
116,1246798,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277739,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,226.31,1.53E+14,NL.IMBAG.Pand.0153100000277739,226.31
117,1251003,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000279038,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,219.941,1.53E+14,NL.IMBAG.Pand.0153100000279038,219.941
118,1241673,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272801,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,292.225,1.53E+14,NL.IMBAG.Pand.0153100000272801,292.225
119,1250624,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000283286,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,256.484,1.53E+14,NL.IMBAG.Pand.0153100000283286,256.484
120,1225299,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000256199,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,249.602,1.53E+14,NL.IMBAG.Pand.0153100000256199,249.602
121,1217364,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241500,1.53E+14,2010,Pand in gebruik,woonfunctie,93,93,1,259.062,1.53E+14,NL.IMBAG.Pand.0153100000241500,259.062
122,1246863,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277492,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,233.863,1.53E+14,NL.IMBAG.Pand.0153100000277492,233.863
123,1227236,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000257792,1.53E+14,2010,Pand in gebruik,woonfunctie,93,93,1,239.065,1.53E+14,NL.IMBAG.Pand.0153100000257792,239.065
124,1187664,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000207537,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,252.251,1.53E+14,NL.IMBAG.Pand.0153100000207537,252.251
125,1209695,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000233554,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,221.497,1.53E+14,NL.IMBAG.Pand.0153100000233554,221.497
126,1182093,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000206253,1.53E+14,2010,Pand in gebruik,woonfunctie,134,134,1,277.641,1.53E+14,NL.IMBAG.Pand.0153100000206253,277.641
127,1198781,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000220907,1.53E+14,2010,Pand in gebruik,woonfunctie,114,114,1,199.45,1.53E+14,NL.IMBAG.Pand.0153100000220907,199.45
128,1189518,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000213894,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,209.6,1.53E+14,NL.IMBAG.Pand.0153100000213894,209.6
129,1202413,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000232180,1.53E+14,2010,Pand in gebruik,woonfunctie,134,134,1,260.27,1.53E+14,NL.IMBAG.Pand.0153100000232180,260.27
130,1185915,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000209785,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,268.213,1.53E+14,NL.IMBAG.Pand.0153100000209785,268.213
131,1204326,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229459,1.53E+14,2011,Pand in gebruik,,,,0,28.395,1.53E+14,NL.IMBAG.Pand.0153100000229459,28.395
132,1202525,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000227496,1.53E+14,2011,Pand in gebruik,,,,0,40.336,1.53E+14,NL.IMBAG.Pand.0153100000227496,40.336
133,1258422,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000289385,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,263.804,1.53E+14,NL.IMBAG.Pand.0153100000289385,263.804
134,1262403,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293489,1.53E+14,2010,Pand in gebruik,woonfunctie,159,159,1,255.328,1.53E+14,NL.IMBAG.Pand.0153100000293489,255.328
135,1268865,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503169,1.53E+14,2018,Pand in gebruik,,,,0,93.187,1.53E+14,NL.IMBAG.Pand.0153100000503169,93.187
136,1273433,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000511663,1.53E+14,2021,Pand in gebruik,,,,0,38.142,1.53E+14,NL.IMBAG.Pand.0153100000511663,38.142
137,1207305,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000230467,1.53E+14,1955,Pand in gebruik,woonfunctie,55,60,4,423.311,1.53E+14,NL.IMBAG.Pand.0153100000230467,423.311
138,1208092,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000236683,1.53E+14,1955,Pand in gebruik,woonfunctie,55,60,4,424.083,1.53E+14,NL.IMBAG.Pand.0153100000236683,424.083
139,1194167,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000217450,1.53E+14,1955,Pand in gebruik,woonfunctie,55,60,4,437.611,1.53E+14,NL.IMBAG.Pand.0153100000217450,437.611
